SKU;;CATEGORÍA;MARCA;PRESENTACIÓN;COSTO;LISTA 1;NETO 1;MARGEN 1;LISTA 2;NETO 2;MARGEN 2;;;;;;;;
CON00377;;Consumibles;CleanCarrier;Caja;$1.730;$2.890;$2.429;29%;$2.890;$2.429;29%;;;;;;;;
CON00378;;Consumibles;CleanCarrier;Unidad;$4.790;$7.990;$6.714;29%;$7.990;$6.714;29%;;;;;;;;
CON00379;;Consumibles;CleanCarrier;Unidad;$1.120;$1.870;$1.571;29%;$1.870;$1.571;29%;;;;;;;;
CON00380;;Consumibles;CleanCarrier;Unidad;$510;$850;$714;29%;$850;$714;29%;;;;;;;;
CON00381;;Consumibles;CleanCarrier;Unidad;$145;$250;$210;31%;$250;$210;31%;;;;;;;;
CON00382;;Consumibles;CleanCarrier;Unidad;$205;$340;$286;28%;$340;$286;28%;;;;;;;;
CON00383;;Consumibles;CleanCarrier;Unidad;$175;$300;$252;31%;$300;$252;31%;;;;;;;;
CON00384;;Consumibles;CleanCarrier;Unidad;$710;$1.190;$1.000;29%;$1.190;$1.000;29%;;;;;;;;
CON00385;;Consumibles;CleanCarrier;Unidad;$130;$220;$185;30%;$220;$185;30%;;;;;;;;
CON00386;;Consumibles;CleanCarrier;Unidad;$200;$340;$286;30%;$340;$286;30%;;;;;;;;
CON00387;;Consumibles;CleanCarrier;Unidad;$230;$390;$328;30%;$390;$328;30%;;;;;;;;
CON00388;;Consumibles;CleanCarrier;Unidad;$1.400;$2.340;$1.966;29%;$2.340;$1.966;29%;;;;;;;;
CON00389;;Consumibles;CleanCarrier;Unidad;$263;$420;$353;25%;$420;$353;25%;;;;;;;;
CON00390;;Consumibles;CleanCarrier;Unidad;$310;$520;$437;29%;$520;$437;29%;;;;;;;;
CON00391;;Consumibles;CleanCarrier;Unidad;$710;$1.190;$1.000;29%;$1.190;$1.000;29%;;;;;;;;
CON00392;;Consumibles;CleanCarrier;Caja;$9.000;$15.000;$12.605;29%;$15.000;$12.605;29%;;;;;;;;
CON00393;;Consumibles;CleanCarrier;Caja;$8.400;$14.000;$11.765;29%;$14.000;$11.765;29%;;;;;;;;
CON00394;;Consumibles;CleanCarrier;Unidad;$320;$540;$454;29%;$540;$454;29%;;;;;;;;
CON00395;;Consumibles;CleanCarrier;Unidad;$1.130;$1.750;$1.471;23%;$1.750;$1.471;23%;;;;;;;;
CON00396;;Consumibles;CleanCarrier;Unidad;$1.130;$1.750;$1.471;23%;$1.750;$1.471;23%;;;;;;;;
CON00397;;Consumibles;CleanCarrier;Unidad;$1.130;$1.750;$1.471;23%;$1.750;$1.471;23%;;;;;;;;
CON00398;;Consumibles;CleanCarrier;Unidad;$1.130;$1.750;$1.471;23%;$1.750;$1.471;23%;;;;;;;;
CON00399;;Consumibles;CleanCarrier;Unidad;$950;$1.590;$1.336;29%;$1.590;$1.336;29%;;;;;;;;
CON00400;;Consumibles;CleanCarrier;Unidad;$950;$1.590;$1.336;29%;$1.590;$1.336;29%;;;;;;;;
CON00401;;Consumibles;CleanCarrier;Unidad;$900;$1.500;$1.261;29%;$1.500;$1.261;29%;;;;;;;;
CON00402;;Consumibles;CleanCarrier;Unidad;$900;$1.500;$1.261;29%;$1.500;$1.261;29%;;;;;;;;
CON00403;;Consumibles;CleanCarrier;Unidad;$390;$650;$546;29%;$650;$546;29%;;;;;;;;
CON00404;;Consumibles;CleanCarrier;Unidad;$390;$650;$546;29%;$650;$546;29%;;;;;;;;
CON00405;;Consumibles;CleanCarrier;Bolsa;$1.640;$2.740;$2.303;29%;$2.740;$2.303;29%;;;;;;;;
CON00406;;Consumibles;CleanCarrier;Bolsa;$1.260;$2.000;$1.681;25%;$2.000;$1.681;25%;;;;;;;;
CON00407;;Consumibles;CleanCarrier;Bolsa;$1.990;$3.250;$2.731;27%;$3.250;$2.731;27%;;;;;;;;
CON00408;;Consumibles;CleanCarrier;Bolsa;$2.050;$3.400;$2.857;28%;$3.400;$2.857;28%;;;;;;;;
CON00409;;Consumibles;CleanCarrier;Unidad;$140;$230;$193;28%;$230;$193;28%;;;;;;;;
CON00410;;Consumibles;CleanCarrier;Unidad;$450;$740;$622;28%;$740;$622;28%;;;;;;;;
CON00411;;Consumibles;CleanCarrier;Caja;$3.850;$6.340;$5.328;28%;$6.340;$5.328;28%;;;;;;;;
CON00412;;Consumibles;CleanCarrier;Caja;$1.650;$2.670;$2.244;26%;$2.670;$2.244;26%;;;;;;;;
CON00413;;Consumibles;CleanCarrier;Caja;$2.450;$4.000;$3.361;27%;$4.000;$3.361;27%;;;;;;;;
CON00414;;Consumibles;CleanCarrier;Unidad;$168;$270;$227;26%;$270;$227;26%;;;;;;;;
CON00415;;Consumibles;CleanCarrier;Unidad;$545;$870;$731;25%;$870;$731;25%;;;;;;;;
CON00416;;Consumibles;CleanCarrier;Unidad;$530;$890;$748;29%;$890;$748;29%;;;;;;;;
CON00417;;Consumibles;CleanCarrier;Bolsa;$168;$270;$227;26%;$270;$227;26%;;;;;;;;
CON00418;;Consumibles;CleanCarrier;Bolsa;$445;$740;$622;28%;$740;$622;28%;;;;;;;;
CON00419;;Consumibles;CleanCarrier;Bolsa;$585;$970;$815;28%;$970;$815;28%;;;;;;;;
CON00420;;Consumibles;CleanCarrier;Bolsa;$478;$790;$664;28%;$790;$664;28%;;;;;;;;
CON00421;;Consumibles;CleanCarrier;Caja;$2.490;$4.000;$3.361;26%;$4.000;$3.361;26%;;;;;;;;
CON00422;;Consumibles;CleanCarrier;Caja;$1.330;$2.150;$1.807;26%;$2.150;$1.807;26%;;;;;;;;
CON00423;;Consumibles;CleanCarrier;Caja;$1.850;$3.000;$2.521;27%;$3.000;$2.521;27%;;;;;;;;
CON00424;;Consumibles;CleanCarrier;Caja;$3.780;$6.170;$5.185;27%;$6.170;$5.185;27%;;;;;;;;
CON00425;;Consumibles;CleanCarrier;Caja;$755;$1.240;$1.042;28%;$1.240;$1.042;28%;;;;;;;;
CON00426;;Consumibles;CleanCarrier;Bolsa;$990;$1.650;$1.387;29%;$1.650;$1.387;29%;;;;;;;;
CON00427;;Consumibles;CleanCarrier;Bolsa;$1.490;$2.340;$1.966;24%;$2.340;$1.966;24%;;;;;;;;
CON00428;;Consumibles;CleanCarrier;Bolsa;$1.100;$1.750;$1.471;25%;$1.750;$1.471;25%;;;;;;;;
CON00429;;Consumibles;CleanCarrier;Bolsa;$5.990;$9.670;$8.126;26%;$9.670;$8.126;26%;;;;;;;;
CON00430;;Consumibles;CleanCarrier;Caja;$2.790;$4.500;$3.782;26%;$4.350;$3.655;24%;;;;;;;;
CON00431;;Consumibles;CleanCarrier;Caja;$2.790;$4.500;$3.782;26%;$4.350;$3.655;24%;;;;;;;;
CON00432;;Consumibles;CleanCarrier;Caja;$2.790;$4.500;$3.782;26%;$4.350;$3.655;24%;;;;;;;;
CON00433;;Consumibles;CleanCarrier;Caja;$2.790;$4.500;$3.782;26%;$4.350;$3.655;24%;;;;;;;;
CON00434;;Consumibles;CleanCarrier;Caja;$2.790;$4.500;$3.782;26%;$4.350;$3.655;24%;;;;;;;;
CON00435;;Consumibles;CleanCarrier;Caja;$2.990;$4.500;$3.782;21%;$4.500;$3.782;21%;;;;;;;;
CON00436;;Consumibles;CleanCarrier;Caja;$2.990;$4.500;$3.782;21%;$4.500;$3.782;21%;;;;;;;;
CON00437;;Consumibles;CleanCarrier;Caja;$2.990;$4.500;$3.782;21%;$4.500;$3.782;21%;;;;;;;;
CON00438;;Consumibles;CleanCarrier;Caja;$2.990;$4.500;$3.782;21%;$4.500;$3.782;21%;;;;;;;;
CON00439;;Consumibles;CleanCarrier;Caja;$3.100;$4.900;$4.118;25%;$4.900;$4.118;25%;;;;;;;;
CON00440;;Consumibles;CleanCarrier;Caja;$3.100;$4.900;$4.118;25%;$4.900;$4.118;25%;;;;;;;;
CON00441;;Consumibles;CleanCarrier;Caja;$3.100;$4.900;$4.118;25%;$4.900;$4.118;25%;;;;;;;;
CON00442;;Consumibles;CleanCarrier;Caja;$3.100;$4.900;$4.118;25%;$4.900;$4.118;25%;;;;;;;;
CON00443;;Consumibles;CleanCarrier;Caja;$1.790;$2.790;$2.345;24%;$2.700;$2.269;21%;;;;;;;;
CON00444;;Consumibles;CleanCarrier;Caja;$1.790;$2.790;$2.345;24%;$2.700;$2.269;21%;;;;;;;;
CON00445;;Consumibles;CleanCarrier;Caja;$1.790;$2.790;$2.345;24%;$2.700;$2.269;21%;;;;;;;;
CON00446;;Consumibles;CleanCarrier;Caja;$1.650;$2.590;$2.176;24%;$2.500;$2.101;21%;;;;;;;;
CON00447;;Consumibles;CleanCarrier;Caja;$1.650;$2.590;$2.176;24%;$2.500;$2.101;21%;;;;;;;;
CON00448;;Consumibles;CleanCarrier;Caja;$1.650;$2.590;$2.176;24%;$2.500;$2.101;21%;;;;;;;;
CON00449;;Consumibles;CleanCarrier;Caja;$1.540;$2.390;$2.008;23%;$2.350;$1.975;22%;;;;;;;;
CON00450;;Consumibles;CleanCarrier;Caja;$1.540;$2.390;$2.008;23%;$2.350;$1.975;22%;;;;;;;;
CON00451;;Consumibles;CleanCarrier;Caja;$1.540;$2.390;$2.008;23%;$2.350;$1.975;22%;;;;;;;;
