sku;nombre;categoria;marca;presnetacion;costo neto;PRECIO VTA BRUTO;PRECIO VTA NETO;MARGEN;PRECIO VTA BRUTO;PRECIO VTA NETO;MARGEN;;;
CON00481;AGUJA CARPULE LARGA 27G 0.4 UNID;Consumibles;;Unidad;$40;$79;$66;40%;$70;$59;32%;;;
CON00482;AGUJA CARPULE CORTA 30G 0.3 UNID;Consumibles;;Unidad;$48;$79;$66;28%;$75;$63;24%;;;
CON00483;Babero Dental Cranberry unid;Consumibles;Cranberry;Unidad;$33;$50;$42;21%;$50;$42;21%;;;
CON00484;Babero dental negro 500 unid Caja master;Consumibles;;Caja;$16.357;$24.990;$21.000;22%;$24.990;$21.000;22%;;;
CON00485;Babero dental Amarillo 500 Unidades;Consumibles;SKD;Caja;$10.554;$16.500;$13.866;24%;$16.500;$13.866;24%;;;
CON00486;"Kit Quirúrgico estéril Tercer molar dental ""B"" Estéril";Consumibles;Machtig;Kit;$3.071;$4.900;$4.118;25%;$4.900;$4.118;25%;;;
CON00487;Kit Quirúrgico Cirugía Estéril;Consumibles;Merrycare;Kit;$6.000;$9.900;$8.319;28%;$9.200;$7.731;22%;;;
CON00488;Kit Quirúrgico Estéril Cirugía;Consumibles;Machtig;Kit;$5.609;$9.500;$7.983;30%;$8.800;$7.395;24%;;;
CON00489;Kit Quirúrgico Estéril Cirugía SKD;Consumibles;SKD;Kit;$5.766;$9.500;$7.983;28%;$8.800;$7.395;22%;;;
CON00490;GUANTE QUIRÚRGICO ESTÉRIL POLIISOPRENO UNID HEALTH PAK;Consumibles;HEALTH PAK;Unidad;$602;$900;$756;20%;$900;$756;20%;;;
CON00491;GUANTE QUIRÚRGICO ESTÉRIL POLIISOPRENO PAR HEALTH PAK;Consumibles;HEALTH PAK;Unidad;$1.203;$1.800;$1.513;20%;$1.800;$1.513;20%;;;
CON00492;Gorro Clip Blanco unid;Consumibles;;Unidad;$10;$17;$14;30%;$17;$14;30%;;;
CON00493;AGUJA CARPULE EXTRA CORTA30G X UNID;Consumibles;;Caja;$55;$85;$71;23%;$85;$71;23%;;;
IME00127;ANESTESIA ALPHACAINE X UNID (lidocaína 2% + epinefrina 1:100);Insumos Médicos;DFL;Unidad;$400;$580;$487;17,93%;$580;$487;17,93%;;;
IME00128;ANESTESIA MEPISV 3% X UNID (mepivacaína 3% sin vasoconstrictor);Insumos Médicos;DFL;Unidad;$568;$820;$689;17,57%;$820;$689;17,57%;;;
IME00129;ANESTESIA MEPIADRE X UNID (Mepivacaína 2% tubo vidrio);Insumos Médicos;DFL;Unidad;$470;$680;$571;17,75%;$680;$571;17,75%;;;
IME00130;ANESTESIA INTRAC LID PLASTICO X UNID (lidocaína 2% + epinefrina);Insumos Médicos;Maver;Unidad;$356;$510;$429;16,93%;$510;$429;16,93%;;;
IME00131;ANESTESIA ARTICAINE X UNID (Articaíne 4% + epinefrina 1:100);Insumos Médicos;Maver;Unidad;$707;$1.020;$857;17,52%;$1.020;$857;17,52%;;;
FP00286;Fresa Diamante BR-48;Fresas y Pulido;;UNIDAD;$650;$1.080;$908;28,38%;$1.080;$908;28,38%;;;
FP00287;Fresa Diamante SF-22;Fresas y Pulido;;UNIDAD;$650;$1.080;$908;28,38%;$1.080;$908;28,38%;;;
FP00288;Fresa Diamante FO-29;Fresas y Pulido;;UNIDAD;$650;$1.080;$908;28,38%;$1.080;$908;28,38%;;;
FP00289;Fresa Diamante FO-29F;Fresas y Pulido;;UNIDAD;$650;$1.080;$908;28,38%;$1.080;$908;28,38%;;;
FP00290;Fresa Diamante FO-25F;Fresas y Pulido;;UNIDAD;$650;$1.080;$908;28,38%;$1.080;$908;28,38%;;;
FP00291;Fresa Diamante FO-25EF;Fresas y Pulido;;UNIDAD;$650;$1.080;$908;28,38%;$1.080;$908;28,38%;;;
EQ00096;Loseta de Vidrio 5x5 cm;Equipos y Otros;;Unidad;$350;$1.500;;;$1.400;;;;;
